thisRow.t,notes,subid,session,run,trial.system.time,trial.number,trial.type,Tgt.OnsetTime,Tgt.OffsetTime,trial.rt,trial.target_dur,Fix_after_target.OnsetTime,Fix_after_target.OffsetTime,Fix_after_target.Duration,Fix_ITI.OnsetTime,Fix_ITI.OffsetTime,Fix_ITI.Duration,time.trial,time.global,Winnings,trial.reward,MRT,Cue.OnsetTime,Cue.OffsetTime,Cue.Duration,Dly.OnsetTime,Dly.OffsetTime,Dly.Duration,Tgt.ACC,Tgt.ACCfeedback,total_earnings,Fb.OnsetTime,Fb.OffsetTime,Fb.Duration,trial.too_slow_rt,trial.too_fast_rt,participant,session,fMRI? (yes or no),fMRI trigger on TTL? (yes or no),fMRI reverse screen? (yes or no),start run (0-2),task screen,date,expName,frameRate,
,,76698986898967689,1,0,Fri May  1 11:58:10 2026,1,loss.low,5.013684208999621,5.521108791988809,0.35156983401975594,0.5,5.525782249984331,9.187950333987828,3.6621987909893505,9.18866616699961,15.19652091700118,6.0078834159940016,10.183308749983553,15.19655866699759,0,,,,,,,,,,,,,,,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
,,76698986898967689,1,0,Fri May  1 11:58:20 2026,2,reward.low,15.197269500000402,15.704582749982364,0.2269704170175828,0.5,15.707993166986853,19.492043709004065,3.7840865830075927,19.493044208997162,25.504595542006427,6.011581791011849,10.307643999985885,25.50462295798934,1.5,1.5,,,,,,,,,,,,,,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
,,76698986898967689,1,0,Fri May  1 11:58:31 2026,3,loss.neut,25.50507041698438,26.017208083998412,0.24055304101784714,0.5,26.02031024999451,29.78377399998135,3.7634944999881554,29.784638624987565,33.786421291995794,4.001816834002966,8.281544625002425,33.786450707993936,1.5,,,,,,,,,,,,,,,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
,,76698986898967689,1,0,Fri May  1 11:58:39 2026,4,loss.neut,33.78688966698246,34.26688350000768,0.26790408400120214,0.48,34.27039683400653,38.002002958994126,3.731622999999672,38.00223670899868,44.003221124992706,6.0010163330007344,10.216517957975157,44.00326887500705,1.5,,,,,,,,,,,,,,,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
,,76698986898967689,1,0,Fri May  1 11:58:49 2026,5,reward.high,44.003817624994554,44.508577458997024,0.2174636670097243,0.5,44.51216441698489,48.30457449998357,3.792448958993191,48.30550650000805,52.31269845899078,4.00722070800839,8.309111749986187,52.31272633300978,6.5,5.0,,,,,,,,,,,,,,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
,,76698986898967689,1,0,Fri May  1 11:58:57 2026,6,reward.high,52.313098624988925,52.79629737499636,0.3681125839939341,0.48,52.80007379199378,56.43810349999694,3.638067833002424,56.4395348749822,60.4464205839904,4.006924540997716,8.133458208991215,60.446448833012255,11.5,5.0,,,,,,,,,,,,,,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
,,76698986898967689,1,0,Fri May  1 11:59:06 2026,7,reward.neut,60.44694037499721,60.949136541981716,0.2698197079880629,0.5,60.95179866699618,64.68783316700137,3.7360599169915076,64.68862245898345,66.68795241700718,1.9993658750026952,6.241215957998065,66.68799829200725,11.5,0.0,,,,,,,,,,,,,,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
,,76698986898967689,1,0,Fri May  1 11:59:12 2026,8,loss.high,66.68865291698603,67.19619774998864,0.35058245799154975,0.5,67.20030683398363,70.8586145839945,3.658334792009555,70.85933212499367,74.85882349999156,3.999528583983192,8.170481292007025,74.85887137500686,11.5,,,,,,,,,,,,,,,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
,,76698986898967689,1,0,Fri May  1 11:59:20 2026,9,reward.neut,74.85948341700714,75.34618200000841,0.2783121250104159,0.48,75.34914970898535,79.07523924999987,3.7261243330140132,79.07628354200278,85.07549975000438,5.999257209012285,10.216294667014154,85.07554499999969,11.5,0.0,,,,,,,,,,,,,,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
,,76698986898967689,1,0,Fri May  1 11:59:30 2026,10,reward.low,85.07615358399926,85.55882145900978,0.2528480839973781,0.48,85.56300525000552,89.31129491698812,3.7483222919981927,89.31192529198597,95.31175033398904,5.999851499975193,10.235879374988144,95.3117792920093,13.0,1.5,,,,,,,,,,,,,,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
