thisRow.t,notes,subid,session,run,trial.system.time,trial.number,trial.type,Tgt.OnsetTime,Tgt.OffsetTime,trial.rt,trial.target_dur,Fix_after_target.OnsetTime,Fix_after_target.OffsetTime,Fix_after_target.Duration,Fix_ITI.OnsetTime,Fix_ITI.OffsetTime,Fix_ITI.Duration,time.trial,time.global,Winnings,trial.reward,trial.too_slow_rt,MRT,Cue.OnsetTime,Cue.OffsetTime,Cue.Duration,Dly.OnsetTime,Dly.OffsetTime,Dly.Duration,trial.too_fast_rt,Tgt.ACC,Tgt.ACCfeedback,total_earnings,Fb.OnsetTime,Fb.OffsetTime,Fb.Duration,trial.cue_rt,participant,session,fMRI? (yes or no),fMRI trigger on TTL? (yes or no),fMRI reverse screen? (yes or no),start run (0-2),task screen,date,expName,frameRate,
,,587968758647536,1,0,Fri May  1 11:04:58 2026,1,loss.neut,5.007708499993896,5.514507207990391,0.20530145900556818,0.5,5.522395624982892,9.322941999998875,3.8006069580151234,9.323987082985695,15.331220457999734,6.007297625008505,10.32445387498592,15.331301666999934,0,,,,,,,,,,,,,,,,,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,0,Fri May  1 11:05:08 2026,2,loss.high,15.332301832997473,15.843980082980124,0.2523038329964038,0.5,15.849827582977014,19.598214416997507,3.7484505829925183,19.599622499983525,25.59919433298637,5.999627332988894,10.267317749996437,25.59925091700279,0,,,,,,,,,,,,,,,,,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,0,Fri May  1 11:05:18 2026,3,reward.high,25.600223207991803,26.10223633298301,0.2538942919927649,0.5,26.107252666988643,29.86032658300246,3.7531284170108847,29.861305083002662,35.863698125001974,6.002443334000418,10.263879999984056,35.86374962498667,5.0,5.0,,,,,,,,,,,,,,,,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,0,Fri May  1 11:05:28 2026,4,reward.low,35.86463450000156,36.36885416699806,0.21288158401148394,0.5,36.37471599999117,40.17300549999345,3.7983326250105165,40.17385333299171,42.181315458001336,2.0075032919994555,6.317053415987175,42.18136737498571,6.5,1.5,,,,,,,,,,,,,,,,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,0,Fri May  1 11:05:35 2026,5,loss.high,42.18199374998221,42.673086666996824,0.23138983300304972,0.48,42.679839707998326,46.45630516699748,3.7765050409943797,46.45732237500488,52.46029816698865,6.003023416007636,10.278587249980774,52.46035458400729,6.5,,,,,,,,,,,,,,,,,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,0,Fri May  1 11:05:45 2026,6,reward.neut,52.46105570800137,52.96460199999274,0.22575062498799525,0.5,52.96709429199109,56.752110500005074,3.785058042005403,56.75295283299056,60.760515332978684,4.00760941702174,8.299782749993028,60.76057908398798,6.5,0.0,,,,,,,,,,,,,,,,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,0,Fri May  1 11:05:53 2026,7,reward.neut,60.76128449998214,61.2523739579774,0.28464579200954176,0.48,61.255532707989914,64.97736258298391,3.721873875008896,64.97856370799127,66.98462587498943,2.006099166988861,6.223588666005526,66.98465691698948,6.5,0.0,,,,,,,,,,,,,,,,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,0,Fri May  1 11:06:00 2026,8,reward.low,66.98514029200305,67.47270954199485,0.32331687497207895,0.48,67.47860191698419,71.15655716697802,3.6780105409852695,71.15746670798399,73.16890624997905,2.011491582990857,6.183986124990042,73.16896783400443,8.0,1.5,,,,,,,,,,,,,,,,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,0,Fri May  1 11:06:06 2026,9,reward.low,73.16975749999983,73.63122204199317,0.31595487499726005,0.46,73.63814062500023,77.32734554199851,3.6892524159920868,77.32821445798618,81.33541912498185,4.00725416597561,8.165942417021142,81.33548195898766,9.5,1.5,,,,,,,,,,,,,,,,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,0,Fri May  1 11:06:14 2026,10,reward.high,81.33624541698373,81.82729270798154,0.25808320799842477,0.48,81.83314162498573,85.57708829198964,3.7439984589873347,85.57799179200083,89.57721054198919,3.999274832982337,8.241354166995734,89.57729579199804,14.5,5.0,,,,,,,,,,,,,,,,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
